"Species_Name","Scientific_Name","Sausalito_2022","Emeryville_2022","Santa Cruz_2022","Santa Barbara_2022","Channel Islands_2022","San Pedro_2022","Eureka_2023","Shelter Cove_2023","Fort Bragg_2023","Bodega Bay_2023","Emeryville_2023","Pillar Point_2023","Moss Landing_2023","Morro Bay_2023","Avila Beach_2023","Santa Barbara_2023","Channel Islands_2023","Marina Del Rey_2023","Long Beach_2023","Dana Point_2023","San Diego_2023","Crescent City_2024","Eureka_2024","Shelter Cove_2024","Fort Bragg_2024","San Francisco_2024","Emeryville_2024","Pillar Point_2024","Santa Cruz_2024","Moss Landing_2024","Morro Bay_2024","Avila Beach_2024","Santa Barbara_2024","Channel Islands_2024","Marina Del Rey_2024","Long Beach_2024","Newport_2024","Dana Point_2024","Mission Bay_2024","Seaforth_2024","San Diego_2024","Crescent City_2025","Eureka_2025","Shelter Cove_2025","Fort Bragg_2025","Bodega Bay_2025","Emeryville_2025","Pillar Point_2025","Santa Cruz_2025","Moss Landing_2025","Morro Bay_2025","Avila Beach_2025","Santa Barbara_2025","Ventura_2025","Channel Islands_2025","Marina Del Rey_2025","Long Beach_2025","Newport_2025","Dana Point_2025","San Diego_2025","UNKNOWN_2025","Total"
"Speckled Rockfish","Sebastes ovalis",0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,12,65,0,3,0,0,0,1,0,0,0,0,0,0,1,0,4,11,23,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,17,62,4,13,6,0,0,245
"Squarespot Rockfish","Sebastes hopkinsi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,17,0,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,10,0,111,3,21,12,12,0,228
"Greenblotched Rockfish","Sebastes rosenblatti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,1,4,0,2,12,0,0,0,2,0,0,0,0,0,0,0,23,0,3,3,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,4,34,1,4,4,1,0,1,0,173
"Widow Rockfish","Sebastes entomelas",0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,2,1,3,19,1,0,60,9,0,1,0,1,0,0,0,147
"Quillback Rockfish","Sebastes maliger",2,131,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135
"Bank Rockfish","Sebastes rufus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,6,4,1,1,0,88,1,0,131
"Flag Rockfish","Sebastes rubrivinctus",0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,8,0,2,1,1,0,0,0,0,0,0,0,0,2,1,0,9,5,2,1,2,5,0,0,0,1,0,0,0,0,1,0,3,0,1,0,10,10,7,23,2,2,1,1,0,109
"Honeycomb Rockfish","Sebastes umbrosus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,5,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,3,1,0,26,0,0,2,21,0,106
"Treefish","Sebastes serriceps",0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,10,0,0,0,1,2,0,0,0,0,0,0,0,0,1,6,1,2,1,1,3,1,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,2,5,0,6,0,2,0,2,0,63
"Swordspine Rockfish","Sebastes ensifer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,19,0,10,0,7,0,61
"Calico Rockfish","Sebastes dalli",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,38
"Bocaccio","Sebastes paucispinis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,3,0,0,2,0,1,0,1,0,3,0,17
"Blackgill Rockfish","Sebastes melanostomus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,17
"Halfbanded Rockfish","Sebastes semicinctus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,6,0,0,0,0,0,16
"Kelp Rockfish","Sebastes atrovirens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,12
"Black and Yellow Rockfish","Sebastes chrysomelas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9
"Tiger Rockfish","Sebastes nigrocinctus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Kelp Greenling","Hexagrammos decagrammus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Cabezon","Scorpaenichthys marmoratus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Pinkrose Rockfish","Sebastes simulator",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4
"Redstripe Rockfish","Sebastes proriger",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
"Rockfish Genus","Sebastes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4
"Lingcod","Ophiodon elongatus",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3
"Grass Rockfish","Sebastes rastrelliger",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Splitnose Rockfish","Sebastes diploproa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
