"Species_Name","Scientific_Name","District 1_2022","District 2_2022","District 3_2022","District 4_2022","District 1_2023","District 2_2023","District 3_2023","District 4_2023","District 5_2023","District 6_2023","District 1_2024","District 2_2024","District 3_2024","District 4_2024","District 5_2024","District 6_2024","District 1_2025","District 2_2025","District 3_2025","District 4_2025","District 5_2025","District 6_2025","Total"
"Vermilion/Sunset Rockfish","Sebastes miniatus",0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,97
"Canary Rockfish","Sebastes pinniger",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,96
"Starry Rockfish","Sebastes constellatus",0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,96
"Yellowtail Rockfish","Sebastes flavidus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,96
"Blue/Deacon Rockfish","Sebastes mystinus/diaconus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,95
"Black Rockfish","Sebastes melanops",0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,94
"Bank Rockfish","Sebastes rufus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,91
"Greenstriped Rockfish","Sebastes elongatus",0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,87
"Vermilion/Sunset Rockfish","Sebastes miniatus",0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
"California Scorpionfish","Scorpaena guttata",0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
"Speckled Rockfish","Sebastes ovalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,85
"Vermilion/Sunset Rockfish","Sebastes miniatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,81
"Mexican Rockfish","Sebastes macdonaldi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,80
"Canary Rockfish","Sebastes pinniger",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,79
"Black Rockfish","Sebastes melanops",0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,75
"Canary Rockfish","Sebastes pinniger",0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,74
"Greenspotted Rockfish","Sebastes chlorostictus",0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71
"Canary Rockfish","Sebastes pinniger",0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
"Greenblotched Rockfish","Sebastes rosenblatti",0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
"Gopher Rockfish","Sebastes carnatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,70
"Widow Rockfish","Sebastes entomelas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,69
"China Rockfish","Sebastes nebulosus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,68
"Speckled Rockfish","Sebastes ovalis",0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
"Greenstriped Rockfish","Sebastes elongatus",0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
"Gopher Rockfish","Sebastes carnatus",0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,63
"Brown Rockfish","Sebastes auriculatus",0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
"Starry Rockfish","Sebastes constellatus",0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
"Greenspotted Rockfish","Sebastes chlorostictus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,59
"Rosy Rockfish","Sebastes rosaceus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,59
"Black Rockfish","Sebastes melanops",0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,55
"Black Rockfish","Sebastes melanops",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,54
"Copper Rockfish","Sebastes caurinus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,54
"Copper Rockfish","Sebastes caurinus",53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
"Blue/Deacon Rockfish","Sebastes mystinus/diaconus",0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
"Copper Rockfish","Sebastes caurinus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,51
"Greenspotted Rockfish","Sebastes chlorostictus",0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,51
"Blue/Deacon Rockfish","Sebastes mystinus/diaconus",0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,50
"Mexican Rockfish","Sebastes macdonaldi",0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,50
"Yellowtail Rockfish","Sebastes flavidus",0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
"Honeycomb Rockfish","Sebastes umbrosus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,49
"Blue/Deacon Rockfish","Sebastes mystinus/diaconus",0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,48
"China Rockfish","Sebastes nebulosus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,47
"Chilipepper","Sebastes goodei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,47
"Gopher Rockfish","Sebastes carnatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,47
"Vermilion/Sunset Rockfish","Sebastes miniatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,47
"Chilipepper","Sebastes goodei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,46
"Greenstriped Rockfish","Sebastes elongatus",0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
"Rosy Rockfish","Sebastes rosaceus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,46
"Brown Rockfish","Sebastes auriculatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,45
"Greenstriped Rockfish","Sebastes elongatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,45
"Honeycomb Rockfish","Sebastes umbrosus",0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,45
"Vermilion/Sunset Rockfish","Sebastes miniatus",0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
"Yellowtail Rockfish","Sebastes flavidus",0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
"Brown Rockfish","Sebastes auriculatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,44
"Copper Rockfish","Sebastes caurinus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,44
"Chilipepper","Sebastes goodei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,43
"Gopher Rockfish","Sebastes carnatus",0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
"Starry Rockfish","Sebastes constellatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,43
"Yellowtail Rockfish","Sebastes flavidus",0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,42
"Vermilion/Sunset Rockfish","Sebastes miniatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,41
"Greenspotted Rockfish","Sebastes chlorostictus",0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
"Greenblotched Rockfish","Sebastes rosenblatti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,39
"Rosy Rockfish","Sebastes rosaceus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,39
"Blue/Deacon Rockfish","Sebastes mystinus/diaconus",0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,38
"Greenspotted Rockfish","Sebastes chlorostictus",0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,37
"Canary Rockfish","Sebastes pinniger",0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,36
"Olive Rockfish","Sebastes serranoides",0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
"Squarespot Rockfish","Sebastes hopkinsi",0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,36
"Swordspine Rockfish","Sebastes ensifer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,36
"Rosy Rockfish","Sebastes rosaceus",0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,35
"Brown Rockfish","Sebastes auriculatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,34
"Copper Rockfish","Sebastes caurinus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,34
"Copper Rockfish","Sebastes caurinus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,34
"Gopher Rockfish","Sebastes carnatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,34
"Vermilion/Sunset Rockfish","Sebastes miniatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,34
"Gopher Rockfish","Sebastes carnatus",0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
"Speckled Rockfish","Sebastes ovalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,33
"Greenspotted Rockfish","Sebastes chlorostictus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,32
"Canary Rockfish","Sebastes pinniger",0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
"Greenspotted Rockfish","Sebastes chlorostictus",0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
"Calico Rockfish","Sebastes dalli",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,30
"Vermilion/Sunset Rockfish","Sebastes miniatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,30
"Copper Rockfish","Sebastes caurinus",0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,29
"Flag Rockfish","Sebastes rubrivinctus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,29
"Rosy Rockfish","Sebastes rosaceus",0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,29
"Yellowtail Rockfish","Sebastes flavidus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,29
"Flag Rockfish","Sebastes rubrivinctus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,28
"Squarespot Rockfish","Sebastes hopkinsi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,28
"Starry Rockfish","Sebastes constellatus",0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,28
"Widow Rockfish","Sebastes entomelas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,28
"Copper Rockfish","Sebastes caurinus",0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
"Olive Rockfish","Sebastes serranoides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,27
"Yellowtail Rockfish","Sebastes flavidus",0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,27
"Gopher Rockfish","Sebastes carnatus",0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,26
"Greenstriped Rockfish","Sebastes elongatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,26
"Olive Rockfish","Sebastes serranoides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,26
"Speckled Rockfish","Sebastes ovalis",0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,26
"Brown Rockfish","Sebastes auriculatus",0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
"Copper Rockfish","Sebastes caurinus",0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25
"Copper Rockfish","Sebastes caurinus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,25
"Gopher Rockfish","Sebastes carnatus",0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
"Starry Rockfish","Sebastes constellatus",0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
"Brown Rockfish","Sebastes auriculatus",0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,23
"China Rockfish","Sebastes nebulosus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,23
"Greenblotched Rockfish","Sebastes rosenblatti",0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,23
"Greenstriped Rockfish","Sebastes elongatus",0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
"Widow Rockfish","Sebastes entomelas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,23
"Copper Rockfish","Sebastes caurinus",0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,21
"Olive Rockfish","Sebastes serranoides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,21
"Brown Rockfish","Sebastes auriculatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,20
"Copper Rockfish","Sebastes caurinus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,20
"Gopher Rockfish","Sebastes carnatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20
"Olive Rockfish","Sebastes serranoides",0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,20
"Olive Rockfish","Sebastes serranoides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,20
"China Rockfish","Sebastes nebulosus",0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,19
"Yellowtail Rockfish","Sebastes flavidus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,19
"Brown Rockfish","Sebastes auriculatus",0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"Greenblotched Rockfish","Sebastes rosenblatti",0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"Vermilion/Sunset Rockfish","Sebastes miniatus",0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,18
"Blackgill Rockfish","Sebastes melanostomus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,17
"Brown Rockfish","Sebastes auriculatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,17
"China Rockfish","Sebastes nebulosus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17
"Greenstriped Rockfish","Sebastes elongatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,17
"Greenspotted Rockfish","Sebastes chlorostictus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,16
"Rosy Rockfish","Sebastes rosaceus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,16
"Rosy Rockfish","Sebastes rosaceus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,16
"Starry Rockfish","Sebastes constellatus",0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"Swordspine Rockfish","Sebastes ensifer",0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,16
"Greenspotted Rockfish","Sebastes chlorostictus",0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"Olive Rockfish","Sebastes serranoides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,15
"Speckled Rockfish","Sebastes ovalis",0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,15
"Bank Rockfish","Sebastes rufus",0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"Flag Rockfish","Sebastes rubrivinctus",0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,14
"Blue/Deacon Rockfish","Sebastes mystinus/diaconus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,13
"Speckled Rockfish","Sebastes ovalis",0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"Copper Rockfish","Sebastes caurinus",0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,12
"Flag Rockfish","Sebastes rubrivinctus",0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"Greenstriped Rockfish","Sebastes elongatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12
"Mexican Rockfish","Sebastes macdonaldi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12
"Widow Rockfish","Sebastes entomelas",0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"Olive Rockfish","Sebastes serranoides",0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,11
