"Species_Name","Scientific_Name","District 1_2022","District 2_2022","District 3_2022","District 4_2022","District 1_2023","District 2_2023","District 3_2023","District 4_2023","District 5_2023","District 6_2023","District 1_2024","District 2_2024","District 3_2024","District 4_2024","District 5_2024","District 6_2024","District 1_2025","District 2_2025","District 3_2025","District 4_2025","District 5_2025","District 6_2025","Total"
"Mexican Rockfish","Sebastes macdonaldi",0,0,0,0,117,1,0,0,0,0,50,1,0,0,0,0,80,12,0,0,0,0,261
"Speckled Rockfish","Sebastes ovalis",0,0,0,0,68,13,1,2,0,0,26,15,1,0,1,0,85,33,0,0,0,0,245
"Squarespot Rockfish","Sebastes hopkinsi",0,0,0,0,2,0,0,0,0,0,36,3,0,0,0,0,159,28,0,0,0,0,228
"Greenblotched Rockfish","Sebastes rosenblatti",0,0,0,0,18,70,0,0,0,0,10,23,0,0,2,0,10,39,1,0,0,0,173
"Widow Rockfish","Sebastes entomelas",0,0,0,0,0,0,0,0,12,0,0,0,0,0,28,0,2,69,23,3,7,3,147
"Quillback Rockfish","Sebastes maliger",0,0,0,133,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,135
"Bank Rockfish","Sebastes rufus",0,0,0,0,14,1,0,0,0,0,10,2,0,0,0,0,91,10,3,0,0,0,131
"Flag Rockfish","Sebastes rubrivinctus",0,0,0,0,4,12,4,0,0,0,10,14,3,0,0,0,29,28,4,1,0,0,109
"Honeycomb Rockfish","Sebastes umbrosus",0,0,0,0,8,0,0,0,0,0,45,0,0,0,0,0,49,4,0,0,0,0,106
"Treefish","Sebastes serriceps",0,0,0,0,3,10,10,0,0,0,5,3,8,0,0,0,10,7,5,2,0,0,63
"Swordspine Rockfish","Sebastes ensifer",0,0,0,0,4,0,0,0,0,0,16,0,0,0,0,0,36,5,0,0,0,0,61
"Calico Rockfish","Sebastes dalli",0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,30,0,0,0,0,0,38
"Bocaccio","Sebastes paucispinis",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,5,2,3,2,0,2,17
"Blackgill Rockfish","Sebastes melanostomus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,17
"Halfbanded Rockfish","Sebastes semicinctus",0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,6,6,0,0,0,0,16
"Kelp Rockfish","Sebastes atrovirens",0,0,0,0,2,0,0,0,0,0,0,1,7,0,0,0,1,0,1,0,0,0,12
"Black and Yellow Rockfish","Sebastes chrysomelas",0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,2,0,0,2,9
"Tiger Rockfish","Sebastes nigrocinctus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,6
"Kelp Greenling","Hexagrammos decagrammus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,5
"Cabezon","Scorpaenichthys marmoratus",0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,4
"Pinkrose Rockfish","Sebastes simulator",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,4
"Redstripe Rockfish","Sebastes proriger",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4
"Rockfish Genus","Sebastes",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,4
"Lingcod","Ophiodon elongatus",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3
"Grass Rockfish","Sebastes rastrelliger",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"Splitnose Rockfish","Sebastes diploproa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
